survived,age,sibsp,parch,fare,adult_male,alone,familysize,isalone,hascabin,pclass_2,pclass_3,sex_male,embarked_Q,embarked_S,class_Second,class_Third,who_man,who_woman,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,embark_town_Queenstown,embark_town_Southampton,alive_yes,agegroup_teen,agegroup_youngadult,agegroup_adult,agegroup_senior
0,-0.5466492741972262,0.48400949940768595,-0.49715690120713385,-0.5268249741206591,True,False,0.04037178661514938,-1.1487065017744675,0.0,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1,0.6049605375946878,0.48400949940768595,-0.49715690120713385,0.7015874288349461,False,False,0.04037178661514938,-1.1487065017744675,0.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False
1,-0.25874682124924764,-0.5305986490832921,-0.49715690120713385,-0.5138757996755652,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
1,0.3890336978837039,0.48400949940768595,-0.49715690120713385,0.35275969003868457,False,False,0.04037178661514938,-1.1487065017744675,0.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
0,0.3890336978837039,-0.5305986490832921,-0.49715690120713385,-0.5114778044079552,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,-0.4026980477232369,-0.5305986490832921,-0.49715690120713385,-0.503644992665834,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False
0,1.7565703493866016,-0.5305986490832921,-0.49715690120713385,0.3290195368893456,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
0,-1.9861615389371186,2.513225796389642,0.6984596955609427,-0.2616066975229945,False,False,2.018589330757467,-1.1487065017744675,0.0,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,-0.18677120801225305,-0.5305986490832921,1.894076292329019,-0.4523278939389802,False,False,0.6997776346625885,-1.1487065017744675,0.0,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
1,-1.122454180093183,0.48400949940768595,-0.49715690120713385,-0.08903161089606702,False,False,0.04037178661514938,-1.1487065017744675,0.0,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False
1,-1.8422103124631293,0.48400949940768595,0.6984596955609427,-0.345536531889344,False,False,0.6997776346625885,-1.1487065017744675,0.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False
1,2.0444728023345804,-0.5305986490832921,-0.49715690120713385,-0.15657450480167695,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
0,-0.6906005006712154,-0.5305986490832921,-0.49715690120713385,-0.5114778044079552,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0.6769361508316823,0.48400949940768595,5.48092608263325,-0.06593028368601944,True,False,3.337401026852345,-1.1487065017744675,0.0,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
0,-1.122454180093183,-0.5305986490832921,-0.49715690120713385,-0.5152340241951395,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False
1,1.8285459626235963,-0.5305986490832921,-0.49715690120713385,-0.35896530538795995,False,True,-0.6190340614322898,0.8705443892371525,0.0,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,True
0,-1.9861615389371186,3.52783394488062,0.6984596955609427,-0.10717580228891121,False,False,2.677995178804906,-1.1487065017744675,0.0,False,True,True,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
1,-0.04281998153826381,-0.5305986490832921,-0.49715690120713385,-0.41651719181059965,True,True,-0.6190340614322898,0.8705443892371525,0.0,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
0,0.10113124493572544,0.48400949940768595,-0.49715690120713385,-0.3205973811062002,False,False,0.04037178661514938,-1.1487065017744675,0.0,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
1,-0.4026980477232369,-0.5305986490832921,-0.49715690120713385,-0.5273045731741811,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False
0,0.3890336978837039,-0.5305986490832921,-0.49715690120713385,-0.16712568397916092,True,True,-0.6190340614322898,0.8705443892371525,0.0,True,False,True,False,True,True,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1,0.3170580846467093,-0.5305986490832921,-0.49715690120713385,-0.41651719181059965,True,True,-0.6190340614322898,0.8705443892371525,0.0,True,False,True,False,True,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
1,-1.0504785668561885,-0.5305986490832921,-0.49715690120713385,-0.5118768308204855,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False
1,-0.11479559477525843,-0.5305986490832921,-0.49715690120713385,0.015121956359198187,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0,-1.554307859515151,2.513225796389642,0.6984596955609427,-0.2616066975229945,False,False,2.018589330757467,-1.1487065017744675,0.0,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,0.6049605375946878,0.48400949940768595,5.48092608263325,-0.06377208794517043,False,False,3.337401026852345,-1.1487065017744675,0.0,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
0,-0.4026980477232369,-0.5305986490832921,-0.49715690120713385,-0.5273045731741811,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,-0.76257611390821,2.513225796389642,1.894076292329019,4.379473343409376,True,False,2.677995178804906,-1.1487065017744675,0.0,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
1,-0.4026980477232369,-0.5305986490832921,-0.49715690120713385,-0.5147544251416175,False,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
0,-0.4026980477232369,-0.5305986490832921,-0.49715690120713385,-0.5144359713700789,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False
0,0.748911764068677,-0.5305986490832921,-0.49715690120713385,-0.13411392192713475,True,True,-0.6190340614322898,0.8705443892371525,0.0,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
